Gene	logFC	P.Value
AF250294	5.5798126	2.65E-17
AK053271	5.2323345	1.00E-16
NM_011086	2.973368	4.66E-16
AK137386	4.0188318	1.86E-15
BC038904	3.0848427	6.29E-15
AK014945	3.8050795	1.20E-14
BC011306	3.7711411	3.32E-14
BC049740	3.463444	6.15E-14
NM_021539	2.7486176	6.17E-14
XM_910415	2.8515554	6.80E-14
NM_013901	2.495382	2.27E-13
NM_026489	3.254078	2.61E-13
NM_001001892	2.4574253	7.99E-13
NM_021467	2.1229527	9.64E-13
NM_030682	3.4867819	1.04E-12
NM_020279	2.5169697	1.52E-12
BC022699	3.2172668	2.39E-12
NM_134110	2.5839958	2.68E-12
AK053053	2.9267942	3.47E-12
XM_908334	1.7853675	3.86E-12
AK134983	2.1040775	4.76E-12
BC027196	2.5249779	6.56E-12
NM_008873	3.2304427	8.24E-12
NM_007506	1.8939878	1.11E-11
XM_110973	2.2895673	1.23E-11
AK129105	1.9860245	1.26E-11
AK159572	2.4700461	1.36E-11
NM_029044	1.9516319	1.41E-11
BC031847	1.7037441	1.76E-11
NM_011699	2.5372325	2.28E-11
NM_010865	2.4586962	2.35E-11
AK139761	1.4162102	2.71E-11
AK140151	2.3917661	2.75E-11
AK146175	1.9705487	3.81E-11
AK148171	2.0698173	3.97E-11
NM_010381	2.2562358	4.13E-11
BC060184	1.5566524	5.02E-11
BC103784	1.4038137	5.54E-11
NM_178776	2.3432095	5.81E-11
NM_198021	1.4036425	6.46E-11
NM_198652	1.4849137	8.09E-11
XM_994194	1.8930215	8.56E-11
NM_001039244	1.5548686	1.03E-10
NM_001034908	2.9123921	1.16E-10
NM_030082	1.7934721	1.18E-10
AK088006	2.0104791	1.20E-10
NM_001033149	1.3841912	1.57E-10
BC048462	1.7929697	1.84E-10
NM_016964	1.521719	1.99E-10
XM_991905	1.6401788	2.31E-10
AK043352	1.756348	2.37E-10
BC018319	1.7925005	2.41E-10
NM_175029	1.5144754	2.56E-10
NM_177801	1.907375	2.65E-10
NM_001034870	2.077055	2.77E-10
XM_905512	1.700375	3.82E-10
NM_177811	2.3641215	3.85E-10
NM_019802	1.7256398	3.89E-10
BC061099	1.8249559	4.36E-10
BC066097	1.4340105	4.61E-10
NM_001037801	2.0296646	4.70E-10
NM_177892	1.9277678	4.86E-10
BC062125	1.3681839	5.69E-10
NM_010388	1.6570156	6.13E-10
AK154323	1.4552745	7.34E-10
BC092139	1.2591443	7.65E-10
NM_026810	1.2188373	8.27E-10
NM_025472	1.8425006	8.62E-10
NM_010259	1.3192692	9.14E-10
NM_144938	1.6287696	9.56E-10
AK085022	2.3685309	1.17E-09
AK160863	1.3249435	1.19E-09
BC108990	2.9603403	1.23E-09
AK038781	1.5164118	1.24E-09
AK122458	1.4437221	1.27E-09
NM_001038608	1.558735	1.33E-09
AK158427	2.582311	1.35E-09
AK087773	1.1861528	1.35E-09
AK086582	1.9869319	1.65E-09
NM_198405	1.4532509	1.70E-09
BC050103	1.5592935	1.83E-09
BC100378	1.4338005	1.90E-09
NM_022986	1.2152244	1.96E-09
AK084043	1.7514465	2.02E-09
AK012975	1.6774887	2.30E-09
NM_198657	1.8957442	2.46E-09
AK079395	1.5754484	2.53E-09
NM_028787	1.2438647	2.76E-09
AK166071	1.8514761	2.96E-09
NM_026127	1.2646404	2.97E-09
AK153419	2.0605693	3.40E-09
XM_979253	1.4319965	3.42E-09
NM_146091	1.3536951	4.02E-09
AK032275	1.2295101	4.28E-09
NM_172476	1.5485968	4.35E-09
AK150790	1.9036261	5.39E-09
NM_001004436	1.2828555	5.48E-09
AK088050	1.8394729	5.79E-09
BC013651	1.0910108	5.80E-09
NM_175494	1.4675609	6.05E-09
NM_008902	1.049939	6.07E-09
AK142972	2.1843331	6.12E-09
XM_992800	1.5177007	6.53E-09
NM_009252	1.3038887	6.56E-09
NM_026084	1.4183156	6.96E-09
AK082178	1.710558	7.07E-09
AK007904	1.9587527	7.38E-09
NM_178925	1.3506167	8.68E-09
NM_010265	1.9456895	8.72E-09
NM_175245	1.0931168	9.18E-09
XM_901579	2.3739754	1.07E-08
AK169756	1.0814386	1.11E-08
BC010229	1.3431929	1.16E-08
XM_486255	1.7766935	1.18E-08
BC080756	1.2583535	1.23E-08
BC059027	1.4347755	1.26E-08
XM_978614	1.1147131	1.30E-08
AF250295	1.3495892	1.44E-08
AK079156	2.1522779	1.49E-08
BC080779	1.3017967	1.70E-08
XM_899621	1.1311894	1.71E-08
NM_027959	1.0502373	1.82E-08
NM_001034906	1.237986	1.98E-08
BC094506	1.3413793	2.25E-08
NM_001024710	1.5114129	2.73E-08
NM_023631	1.4270318	3.02E-08
NM_010119	1.8832661	3.09E-08
