Gene	log2FoldChange	pvalue	padj
AF250294	5.5798126	2.65E-17	1.13E-12
AK053271	5.2323345	1.00E-16	2.13E-12
NM_011086	2.973368	4.66E-16	5.63E-12
NM_001012326	-7.2789775	5.29E-16	5.63E-12
NM_001034901	-5.9797765	1.76E-15	1.32E-11
AK137386	4.0188318	1.86E-15	1.32E-11
XM_982472	-4.3164271	3.49E-15	1.98E-11
NM_145457	-2.9848418	3.72E-15	1.98E-11
BC038904	3.0848427	6.29E-15	2.65E-11
BC040255	-4.414898	6.54E-15	2.65E-11
BC020004	-2.6469649	6.85E-15	2.65E-11
BC019726	-3.0423977	7.59E-15	2.69E-11
AK014945	3.8050795	1.20E-14	3.94E-11
AY040842	-3.3094517	1.63E-14	4.96E-11
XM_001002932	-2.8718203	3.04E-14	8.62E-11
BC011306	3.7711411	3.32E-14	8.62E-11
XM_001000526	-4.6733426	3.44E-14	8.62E-11
XM_981541	-4.2895035	3.91E-14	9.24E-11
BC051199	-3.8050368	4.45E-14	9.97E-11
BC049740	3.463444	6.15E-14	1.25E-10
NM_021539	2.7486176	6.17E-14	1.25E-10
XM_910415	2.8515554	6.80E-14	1.32E-10
AK156334	-2.9639112	8.80E-14	1.63E-10
BC058359	-2.7366415	1.33E-13	2.32E-10
AK153779	-3.3115204	1.36E-13	2.32E-10
NM_009082	-2.952249	1.44E-13	2.35E-10
NM_013901	2.495382	2.27E-13	3.58E-10
NM_026489	3.254078	2.61E-13	3.98E-10
XM_888056	-3.0740906	4.77E-13	7.00E-10
NM_001001892	2.4574253	7.99E-13	1.12E-09
AK009249	-2.6893511	8.15E-13	1.12E-09
NM_021467	2.1229527	9.64E-13	1.28E-09
NM_030682	3.4867819	1.04E-12	1.33E-09
BC004075	-2.1031013	1.06E-12	1.33E-09
XM_148595	-3.1666085	1.35E-12	1.65E-09
NM_020279	2.5169697	1.52E-12	1.80E-09
XM_982568	-2.4969822	1.61E-12	1.85E-09
AK151310	-2.6324387	2.32E-12	2.60E-09
BC022699	3.2172668	2.39E-12	2.61E-09
NM_134110	2.5839958	2.68E-12	2.85E-09
NM_029880	-3.0616372	3.30E-12	3.43E-09
AK053053	2.9267942	3.47E-12	3.52E-09
XM_908334	1.7853675	3.86E-12	3.82E-09
AK134983	2.1040775	4.76E-12	4.61E-09
BC099608	-3.0470258	5.18E-12	4.90E-09
BC027196	2.5249779	6.56E-12	6.07E-09
XM_888594	-2.8725939	7.28E-12	6.59E-09
NM_008873	3.2304427	8.24E-12	7.31E-09
NM_001033851	-3.0357884	8.77E-12	7.54E-09
AK137318	-1.7032313	8.86E-12	7.54E-09
NM_009180	-2.0889278	1.02E-11	8.54E-09
NM_007506	1.8939878	1.11E-11	9.08E-09
XM_110973	2.2895673	1.23E-11	9.86E-09
AK129105	1.9860245	1.26E-11	9.95E-09
AK159572	2.4700461	1.36E-11	1.05E-08
NM_029044	1.9516319	1.41E-11	1.07E-08
BC031847	1.7037441	1.76E-11	1.32E-08
NM_011699	2.5372325	2.28E-11	1.68E-08
NM_010865	2.4586962	2.35E-11	1.69E-08
XM_001002410	-3.9661253	2.43E-11	1.73E-08
NM_030266	-1.9206753	2.49E-11	1.74E-08
AK139761	1.4162102	2.71E-11	1.86E-08
AK140151	2.3917661	2.75E-11	1.86E-08
NM_011079	-1.9052414	2.95E-11	1.96E-08
AK137058	-2.3661499	3.04E-11	1.99E-08
NM_145150	-1.8234802	3.26E-11	2.10E-08
AK140614	-3.3815482	3.69E-11	2.34E-08
AK146175	1.9705487	3.81E-11	2.39E-08
AK148171	2.0698173	3.97E-11	2.45E-08
NM_173861	-2.5897877	4.10E-11	2.47E-08
NM_010381	2.2562358	4.13E-11	2.47E-08
BC060184	1.5566524	5.02E-11	2.97E-08
NM_009037	-2.777278	5.48E-11	3.19E-08
BC103784	1.4038137	5.54E-11	3.19E-08
NM_178776	2.3432095	5.81E-11	3.28E-08
AK053693	-2.885682	5.85E-11	3.28E-08
NM_198021	1.4036425	6.46E-11	3.57E-08
NM_198652	1.4849137	8.09E-11	4.41E-08
BC106124	-1.9275217	8.32E-11	4.49E-08
XM_994194	1.8930215	8.56E-11	4.56E-08
AK038800	-2.3740573	9.42E-11	4.95E-08
NM_001039244	1.5548686	1.03E-10	5.37E-08
XM_979286	-3.3648311	1.11E-10	5.71E-08
NM_172832	-2.3265653	1.13E-10	5.72E-08
NM_001034908	2.9123921	1.16E-10	5.81E-08
NM_030082	1.7934721	1.18E-10	5.84E-08
AK088006	2.0104791	1.20E-10	5.86E-08
NM_001002239	-2.0149611	1.34E-10	6.47E-08
NM_001013381	-1.5967936	1.52E-10	7.26E-08
NM_001033284	-2.1310011	1.55E-10	7.33E-08
NM_001033149	1.3841912	1.57E-10	7.33E-08
NM_011027	-1.4075037	1.69E-10	7.80E-08
BC060677	-2.2190974	1.84E-10	8.34E-08
BC048462	1.7929697	1.84E-10	8.34E-08
NM_016964	1.521719	1.99E-10	8.92E-08
XM_991905	1.6401788	2.31E-10	1.03E-07
AK043352	1.756348	2.37E-10	1.04E-07
BC018319	1.7925005	2.41E-10	1.04E-07
XM_979321	-3.2527485	2.55E-10	1.09E-07
NM_175029	1.5144754	2.56E-10	1.09E-07
XM_619357	-1.9169966	2.60E-10	1.10E-07
NM_177801	1.907375	2.65E-10	1.11E-07
NM_001034870	2.077055	2.77E-10	1.15E-07
XM_984535	-1.485832	3.15E-10	1.29E-07
XM_905512	1.700375	3.82E-10	1.55E-07
NM_177811	2.3641215	3.85E-10	1.55E-07
NM_019802	1.7256398	3.89E-10	1.55E-07
NM_001029842	-1.3938077	4.26E-10	1.68E-07
AK161301	-1.3777391	4.29E-10	1.68E-07
BC061099	1.8249559	4.36E-10	1.69E-07
AK157532	-1.9532845	4.44E-10	1.69E-07
XM_974103	-2.2347998	4.46E-10	1.69E-07
BC066097	1.4340105	4.61E-10	1.74E-07
NM_001037801	2.0296646	4.70E-10	1.75E-07
NM_177892	1.9277678	4.86E-10	1.80E-07
AK157890	-2.3958746	4.94E-10	1.81E-07
AK133999	-1.7928781	5.31E-10	1.93E-07
AK133558	-1.9331412	5.38E-10	1.94E-07
BC062125	1.3681839	5.69E-10	2.03E-07
NM_172851	-2.6471566	5.92E-10	2.10E-07
NM_010388	1.6570156	6.13E-10	2.16E-07
XM_622239	-1.6994596	6.67E-10	2.33E-07
AK154323	1.4552745	7.34E-10	2.54E-07
BC092139	1.2591443	7.65E-10	2.62E-07
AK033014	-1.4539284	8.18E-10	2.79E-07
NM_026810	1.2188373	8.27E-10	2.79E-07
AK082664	-1.6874122	8.43E-10	2.83E-07
NM_025472	1.8425006	8.62E-10	2.87E-07
NM_010259	1.3192692	9.14E-10	3.02E-07
NM_144938	1.6287696	9.56E-10	3.13E-07
